Unnamed: 0,Formular,peak,omegas,mirror_ratios,rmirror
14,ZrCl2,137.6621015,1.661870504,0.549425743,0.966917293
126,Bi2TeSe2,140.9947892,1.495961262,0.558655564,0.654135338
104,LiSiB,182.0037271,4.532374101,0.563527253,0.897744361
73,TeW2Se3,106.4485859,5.589928058,0.592083637,0.996992481
96,SiC,116.7535617,6.395683453,0.595124319,0.944360902
117,Na2CaSi,128.6974153,2.153586814,0.630041957,0.977443609
49,W3(SeS2)2,121.683347,5.136690647,0.65581426,0.760902256
110,NaScSn,109.7350362,0.553956835,0.682625624,0.572932331
137,GeTe(PbSe)2,164.6191912,1.007194245,0.688288378,0.972932331
94,ZnS,201.5579652,6.294964029,0.693562271,0.911278195
60,MoW(SeS)2,130.3638157,5.138426079,0.747534525,0.882706767
59,Al6C3N2,139.7349774,0.503597122,0.75688309,0.778947368
108,LiYSi,140.5668982,0.402877698,0.771792462,0.861654135
52,MoW2(SeS2)2,111.6618389,5.135005332,0.802866015,0.718796992
7,GeTe,493.6644827,1.309352518,0.886591352,0.992481203
114,NaYSi,187.4308399,0.320820357,0.900422465,0.872180451
11,KZnSb,141.6151206,2.870503597,0.913223002,0.828571429
113,SrCaSi,101.6970197,0.553956835,0.931635754,0.95037594
197,TeMoWSe3,203.7782988,4.129496403,0.952855664,0.906766917
